visual_case_id,dataset_case_id,evidence_scope,source_agent,hf_path,local_video_path,target_frame_time_absolute,target_frame_time_relative,output_frame_path,extraction_status,error
VA_DEMO_001,DV01_DEMO_001,current_only,Shure,A6_SHURE/DAY7/DAY7_A6_SHURE_11413000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY7/DAY7_A6_SHURE_11413000.mp4,11:41:35.00,00:00:05.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_current_only_Shure_D7_11413500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,current_only,Shure,A6_SHURE/DAY7/DAY7_A6_SHURE_11413000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY7/DAY7_A6_SHURE_11413000.mp4,11:41:45.00,00:00:15.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_current_only_Shure_D7_11414500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,current_only,Shure,A6_SHURE/DAY7/DAY7_A6_SHURE_11413000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY7/DAY7_A6_SHURE_11413000.mp4,11:41:55.00,00:00:25.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_current_only_Shure_D7_11415500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,current_only,Shure,A6_SHURE/DAY7/DAY7_A6_SHURE_11420000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY7/DAY7_A6_SHURE_11420000.mp4,11:42:05.00,00:00:05.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_current_only_Shure_D7_11420500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,current_only,Shure,A6_SHURE/DAY7/DAY7_A6_SHURE_11420000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY7/DAY7_A6_SHURE_11420000.mp4,11:42:15.00,00:00:15.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_current_only_Shure_D7_11421500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,current_only,Shure,A6_SHURE/DAY7/DAY7_A6_SHURE_11420000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY7/DAY7_A6_SHURE_11420000.mp4,11:42:25.00,00:00:25.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_current_only_Shure_D7_11422500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,history_only,Katrina,A5_KATRINA/DAY4/DAY4_A5_KATRINA_16433000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A5_KATRINA/DAY4/DAY4_A5_KATRINA_16433000.mp4,16:43:35.00,00:00:05.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_history_only_Katrina_D4_16433500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,history_only,Katrina,A5_KATRINA/DAY4/DAY4_A5_KATRINA_16433000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A5_KATRINA/DAY4/DAY4_A5_KATRINA_16433000.mp4,16:43:45.00,00:00:15.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_history_only_Katrina_D4_16434500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,history_only,Katrina,A5_KATRINA/DAY4/DAY4_A5_KATRINA_16433000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A5_KATRINA/DAY4/DAY4_A5_KATRINA_16433000.mp4,16:43:55.00,00:00:25.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_history_only_Katrina_D4_16435500.jpg,already_extracted,
VA_DEMO_001,DV01_DEMO_001,history_only,Shure,A6_SHURE/DAY5/DAY5_A6_SHURE_18410000.mp4,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/video_cache/A6_SHURE/DAY5/DAY5_A6_SHURE_18410000.mp4,18:41:05.00,00:00:05.00,/scratch/xy3257/ma_egoqa_reproduce/outputs/historical_v2_fullscreen/dataset_v0_1/visual_audit_v1/frames/VA_DEMO_001_history_only_Shure_D5_18410500.jpg,already_extracted,
