candidate_id,window_id,day,entity,stream_type,video_path,target_time,offset_seconds,frame_path,log_path,status
R2_001,DAY1_122000000,DAY1,Allie,ego,main/day1/Allie/video/12.mp4,12:20:30.000,1229.9199999999983,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Allie_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Allie_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Bjorn,ego,main/day1/Bjorn/video/12.mp4,12:20:30.000,1229.9800000000032,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Bjorn_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Bjorn_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Cathal,ego,main/day1/Cathal/video/12.mp4,12:20:30.000,409.58000000000175,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Cathal_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Cathal_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Florian,ego,main/day1/Florian/video/12.mp4,12:20:30.000,1229.9599999999991,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Florian_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Florian_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Klaus,ego,main/day1/Klaus/video/12.mp4,12:20:30.000,1229.9599999999991,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Klaus_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Klaus_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Luca,ego,main/day1/Luca/video/12.mp4,12:20:30.000,1229.9400000000023,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Luca_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Luca_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Onanong,ego,main/day1/Onanong/video/12.mp4,12:20:30.000,1230.0,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Onanong_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Onanong_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Stevan,ego,main/day1/Stevan/video/12.mp4,12:20:30.000,1229.9199999999983,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Stevan_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Stevan_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Tien,ego,main/day1/Tien/video/12.mp4,12:20:30.000,1229.9800000000032,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Tien_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Tien_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Werner,ego,main/day1/Werner/video/12.mp4,12:20:30.000,277.6600000000035,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Werner_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Werner_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Kitchen,static,main/day1/Kitchen/video/12.mp4,12:20:30.000,1229.9400000000023,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Kitchen_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Kitchen_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Living1,static,main/day1/Living1/video/12.mp4,12:20:30.000,1229.9599999999991,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Living1_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Living1_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Living2,static,main/day1/Living2/video/12.mp4,12:20:30.000,1229.9400000000023,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Living2_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Living2_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Meeting,static,main/day1/Meeting/video/12.mp4,12:20:30.000,1230.0,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Meeting_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Meeting_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Reading,static,main/day1/Reading/video/12.mp4,12:20:30.000,1229.9599999999991,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Reading_122030000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Reading_122030000.stderr.txt,ok
R2_001,DAY1_122000000,DAY1,Allie,ego,main/day1/Allie/video/12.mp4,12:22:30.000,1349.9199999999983,candidate_true_AB_contact_sheets_round2/frames/DAY1_122000000/Allie_122230000.jpg,candidate_true_AB_contact_sheets_round2/logs/DAY1_122000000/Allie_122230000.stderr.txt,ok
